央视,#genre#
CCTV-1综合,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226736/1.m3u8#http://60.255.120.30:89/live2/live2.m3u8#http://mqiptv.com:8014/ch/custom80/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8#http://111.59.63.32:9901/tsfile/live/1008_1.m3u8
CCTV-2财经,http://mqiptv.com:8014/ch/custom79/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226195/index.m3u8?#http://1.195.111.251:11190/tsfile/live/0002_1.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv2HD#https://cntv.sbs/tv?auth=2310201855&id=cctv2
CCTV-3综艺,http://mqiptv.com:8014/ch/custom78/mqlive.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv3HD#http://111.40.196.28:443/PLTV/88888888/224/3221225588/1.m3u8#http://111.40.196.27:443/PLTV/88888888/224/3221225588/1.m3u8
CCTV-4中文国际,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226725/1.m3u8#http://221.213.43.82:8888/newlive/live/hls/5/live.m3u8#http://mqiptv.com:8014/ch/custom77/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226191/index.m3u8?
CCTV-5体育,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226731/1.m3u8#http://mqiptv.com:8014/ch/custom76/mqlive.m3u8#http://221.213.43.82:8888/newlive/live/hls/6/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?
CCTV-5+体育赛事,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226711/1.m3u8#http://221.213.43.82:8888/newlive/live/hls/7/live.m3u8#http://mqiptv.com:8014/ch/custom64/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225761/index.m3u8?
CCTV-6电影,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226699/1.m3u8#http://mqiptv.com:8014/ch/custom75/mqlive.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226393/1.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv6HD#http://1.195.111.251:11190/tsfile/live/0006_1.m3u8
CCTV-7国防军事,http://mqiptv.com:8014/ch/custom74/mqlive.m3u8#http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8#http://1.195.111.251:11190/tsfile/live/0007_1.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv7HD#https://tv.iill.top/cqyx/cctv7HD
CCTV-8电视剧,http://mqiptv.com:8014/ch/custom73/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226012/index.m3u8?#https://live.goodiptv.club/api/cqyx.php?id=cctv8HD#http://111.40.196.29:443/PLTV/88888888/224/3221225592/1.m3u8#http://111.40.196.27:443/PLTV/88888888/224/3221225592/1.m3u8
CCTV-9纪录,http://mqiptv.com:8014/ch/custom72/mqlive.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?#http://1.195.111.251:11190/tsfile/live/0009_1.m3u8#https://live.goodiptv.club/api/cqyx.php?id=cctv9HD#https://cntv.sbs/tv?auth=2310201855&id=cctv9
CCTV-10科教,http://mqiptv.com:8014/ch/custom71/mqlive.m3u8#http://111.59.63.32:9901/tsfile/live/1017_1.m3u8#http://1.195.111.251:11190/tsfile/live/0010_1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226189/index.m3u8?
