央视,#genre#
CCTV-7国防军事,http://39.134.61.218/PLTV/88888888/224/3221226925/index.m3u8
CCTV-10科教,http://39.134.61.218/PLTV/88888888/224/3221226966/index.m3u8
CCTV-14少儿,http://39.134.61.218/PLTV/88888888/224/3221226974/index.m3u8
CGTN,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225745/1.m3u8

卫视,#genre#
湖南卫视,http://39.134.61.218/PLTV/88888888/224/3221227074/index.m3u8
浙江卫视,http://39.134.61.218/PLTV/88888888/224/3221227078/index.m3u8
江苏卫视,http://39.134.61.218/PLTV/88888888/224/3221227070/index.m3u8
北京卫视,http://39.134.61.218/PLTV/88888888/224/3221227062/index.m3u8
广东卫视,http://39.134.61.218/PLTV/88888888/224/3221226964/index.m3u8
深圳卫视,http://39.134.61.218/PLTV/88888888/224/3221226971/index.m3u8
辽宁卫视,http://39.134.61.218/PLTV/88888888/224/3221227082/index.m3u8
黑龙江卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8#http://39.134.61.218/PLTV/88888888/224/3221226953/index.m3u8
新疆卫视,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225747/1.m3u8
兵团卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226214/index.m3u8
延边卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226220/index.m3u8
西藏卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226212/index.m3u8
